=== Log giải Sudoku 9x9 bằng Simulated Annealing ===
Bước 70: Swap (8,2) = 6 <=> (6,0) = 1 | Lỗi:  8 | Conflicts: 14 | Tổng: 2.1011s | Sigma: 48.9890
Bước 71: Swap (0,0) = 8 <=> (2,1) = 4 | Lỗi:  4 | Conflicts: 8 | Tổng: 2.1345s | Sigma: 48.4991
Bước 72: Swap (1,7) = 1 <=> (0,7) = 5 | Lỗi:  2 | Conflicts: 4 | Tổng: 2.1672s | Sigma: 48.0141
Bước 73: Swap (8,2) = 1 <=> (6,0) = 6 | Lỗi:  6 | Conflicts: 10 | Tổng: 2.1968s | Sigma: 47.5340
Bước 74: Swap (2,1) = 8 <=> (0,0) = 4 | Lỗi: 10 | Conflicts: 16 | Tổng: 2.2222s | Sigma: 47.0587
Bước 75: Swap (6,4) = 2 <=> (7,4) = 8 | Lỗi:  8 | Conflicts: 12 | Tổng: 2.2488s | Sigma: 46.5881
Bước 76: Swap (8,2) = 6 <=> (6,0) = 1 | Lỗi:  4 | Conflicts: 6 | Tổng: 2.2741s | Sigma: 46.1222
Bước 77: Swap (6,4) = 7 <=> (7,3) = 2 | Lỗi:  8 | Conflicts: 12 | Tổng: 2.3013s | Sigma: 45.2044
Bước 78: Swap (0,7) = 1 <=> (1,7) = 5 | Lỗi: 10 | Conflicts: 16 | Tổng: 2.3300s | Sigma: 44.7523
Bước 79: Swap (8,2) = 1 <=> (6,0) = 6 | Lỗi: 14 | Conflicts: 22 | Tổng: 2.3632s | Sigma: 44.3048
Bước 80: Swap (7,4) = 7 <=> (6,4) = 8 | Lỗi: 14 | Conflicts: 23 | Tổng: 2.3946s | Sigma: 43.8618
Bước 81: Swap (2,1) = 7 <=> (0,2) = 8 | Lỗi: 15 | Conflicts: 25 | Tổng: 2.4278s | Sigma: 42.9889
Bước 82: Swap (0,0) = 7 <=> (2,1) = 4 | Lỗi: 12 | Conflicts: 21 | Tổng: 2.4610s | Sigma: 42.5590
Bước 83: Swap (0,2) = 7 <=> (0,0) = 8 | Lỗi: 10 | Conflicts: 17 | Tổng: 2.4893s | Sigma: 42.1334
Bước 84: Swap (0,8) = 1 <=> (0,7) = 2 | Lỗi: 12 | Conflicts: 20 | Tổng: 2.5190s | Sigma: 41.7121
Bước 85: Swap (6,0) = 1 <=> (8,2) = 6 | Lỗi:  8 | Conflicts: 14 | Tổng: 2.5492s | Sigma: 41.2950
Bước 86: Swap (8,2) = 1 <=> (6,0) = 6 | Lỗi: 12 | Conflicts: 20 | Tổng: 2.5792s | Sigma: 40.8820
Bước 87: Swap (0,7) = 3 <=> (2,6) = 2 | Lỗi: 15 | Conflicts: 23 | Tổng: 2.6103s | Sigma: 40.4732
Bước 88: Swap (1,7) = 1 <=> (0,8) = 5 | Lỗi: 13 | Conflicts: 20 | Tổng: 2.6364s | Sigma: 40.0685
Bước 89: Swap (2,1) = 7 <=> (0,2) = 4 | Lỗi: 17 | Conflicts: 26 | Tổng: 2.6654s | Sigma: 39.6678
Bước 90: Swap (2,1) = 8 <=> (0,0) = 7 | Lỗi: 18 | Conflicts: 28 | Tổng: 2.6940s | Sigma: 39.2711
Bước 91: Swap (0,2) = 8 <=> (2,1) = 4 | Lỗi: 15 | Conflicts: 24 | Tổng: 2.7219s | Sigma: 38.8784
Bước 92: Swap (0,8) = 1 <=> (1,7) = 5 | Lỗi: 17 | Conflicts: 27 | Tổng: 2.7523s | Sigma: 38.4896
Bước 93: Swap (8,2) = 6 <=> (6,0) = 1 | Lỗi: 13 | Conflicts: 21 | Tổng: 2.7832s | Sigma: 38.1047
