=== Log giải Sudoku bằng Simulated Annealing ===
Bước 60: Swap (4,1) = 16 <=> (4,0) = 10 | Lỗi: 105 | Conflicts: 153 | Tổng: 0.1101s | Sigma: 54.7157
Bước 61: Swap (13,12) = 12 <=> (12,15) = 2 | Lỗi: 103 | Conflicts: 152 | Tổng: 0.1112s | Sigma: 54.1685
Bước 62: Swap (4,1) = 9 <=> (6,2) = 16 | Lỗi: 100 | Conflicts: 149 | Tổng: 0.1124s | Sigma: 53.6268
Bước 63: Swap (15,9) = 11 <=> (13,8) = 5 | Lỗi: 101 | Conflicts: 149 | Tổng: 0.1136s | Sigma: 53.0906
Bước 64: Swap (3,9) = 10 <=> (3,11) = 8 | Lỗi: 101 | Conflicts: 148 | Tổng: 0.1150s | Sigma: 52.5596
Bước 65: Swap (14,6) = 1 <=> (12,6) = 5 | Lỗi: 100 | Conflicts: 148 | Tổng: 0.1172s | Sigma: 52.0341
Bước 66: Swap (2,5) = 7 <=> (3,7) = 14 | Lỗi: 101 | Conflicts: 146 | Tổng: 0.1188s | Sigma: 51.5137
Bước 67: Swap (12,11) = 6 <=> (14,9) = 12 | Lỗi: 98 | Conflicts: 142 | Tổng: 0.1204s | Sigma: 50.9986
Bước 68: Swap (5,5) = 3 <=> (4,6) = 2 | Lỗi: 96 | Conflicts: 141 | Tổng: 0.1220s | Sigma: 50.4886
Bước 69: Swap (12,0) = 8 <=> (14,1) = 11 | Lỗi: 99 | Conflicts: 143 | Tổng: 0.1232s | Sigma: 49.9837
Bước 70: Swap (7,2) = 5 <=> (4,3) = 1 | Lỗi: 98 | Conflicts: 144 | Tổng: 0.1244s | Sigma: 49.4839
Bước 71: Swap (2,6) = 6 <=> (1,5) = 10 | Lỗi: 97 | Conflicts: 143 | Tổng: 0.1260s | Sigma: 48.9890
Bước 72: Swap (9,14) = 7 <=> (8,12) = 14 | Lỗi: 96 | Conflicts: 144 | Tổng: 0.1272s | Sigma: 48.4991
Bước 73: Swap (13,14) = 3 <=> (12,14) = 9 | Lỗi: 97 | Conflicts: 146 | Tổng: 0.1283s | Sigma: 48.0141
Bước 74: Swap (2,9) = 3 <=> (0,9) = 11 | Lỗi: 97 | Conflicts: 147 | Tổng: 0.1296s | Sigma: 47.5340
Bước 75: Swap (14,5) = 8 <=> (12,5) = 11 | Lỗi: 95 | Conflicts: 147 | Tổng: 0.1307s | Sigma: 47.0587
Bước 76: Swap (0,8) = 8 <=> (3,11) = 6 | Lỗi: 95 | Conflicts: 148 | Tổng: 0.1320s | Sigma: 46.5881
Bước 77: Swap (8,0) = 8 <=> (10,2) = 16 | Lỗi: 97 | Conflicts: 151 | Tổng: 0.1334s | Sigma: 46.1222
Bước 78: Swap (14,1) = 8 <=> (12,0) = 11 | Lỗi: 96 | Conflicts: 150 | Tổng: 0.1348s | Sigma: 45.6610
Bước 79: Swap (0,3) = 10 <=> (2,1) = 12 | Lỗi: 95 | Conflicts: 149 | Tổng: 0.1361s | Sigma: 45.2044
Bước 80: Swap (2,1) = 5 <=> (2,2) = 12 | Lỗi: 95 | Conflicts: 148 | Tổng: 0.1373s | Sigma: 44.7523
Bước 81: Swap (2,14) = 13 <=> (3,15) = 11 | Lỗi: 99 | Conflicts: 153 | Tổng: 0.1385s | Sigma: 44.3048
Bước 82: Swap (1,0) = 10 <=> (0,3) = 7 | Lỗi: 101 | Conflicts: 156 | Tổng: 0.1397s | Sigma: 43.8618
Bước 83: Swap (8,8) = 15 <=> (10,8) = 3 | Lỗi: 101 | Conflicts: 155 | Tổng: 0.1409s | Sigma: 43.4231
Bước 84: Swap (2,5) = 10 <=> (1,5) = 7 | Lỗi: 101 | Conflicts: 155 | Tổng: 0.1421s | Sigma: 42.9889
Bước 85: Swap (10,14) = 6 <=> (8,13) = 5 | Lỗi: 101 | Conflicts: 154 | Tổng: 0.1433s | Sigma: 42.5590
Bước 86: Swap (11,0) = 8 <=> (8,0) = 6 | Lỗi: 100 | Conflicts: 153 | Tổng: 0.1445s | Sigma: 42.1334
Bước 87: Swap (14,6) = 11 <=> (12,5) = 1 | Lỗi: 99 | Conflicts: 151 | Tổng: 0.1459s | Sigma: 41.7121
Bước 88: Swap (7,0) = 1 <=> (4,3) = 13 | Lỗi: 99 | Conflicts: 150 | Tổng: 0.1471s | Sigma: 41.2950
Bước 89: Swap (15,7) = 8 <=> (14,5) = 4 | Lỗi: 97 | Conflicts: 147 | Tổng: 0.1483s | Sigma: 40.8820
Bước 90: Swap (4,8) = 8 <=> (5,8) = 3 | Lỗi: 96 | Conflicts: 146 | Tổng: 0.1495s | Sigma: 40.4732
Bước 91: Swap (11,11) = 4 <=> (9,8) = 7 | Lỗi: 98 | Conflicts: 148 | Tổng: 0.1508s | Sigma: 40.0685
Bước 92: Swap (9,10) = 16 <=> (11,9) = 6 | Lỗi: 96 | Conflicts: 145 | Tổng: 0.1521s | Sigma: 39.6678
Bước 93: Swap (0,3) = 1 <=> (3,0) = 7 | Lỗi: 95 | Conflicts: 144 | Tổng: 0.1533s | Sigma: 39.2711
Bước 94: Swap (14,6) = 5 <=> (12,6) = 11 | Lỗi: 96 | Conflicts: 145 | Tổng: 0.1544s | Sigma: 38.8784
