=== Log giải Sudoku 9x9 bằng Simulated Annealing ===
Bước 114: Swap (0,0) = 7 <=> (1,2) = 4 | Lỗi:  6 | Conflicts: 10 | Tổng: 58.2853s | Sigma: 30.8544
Bước 115: Swap (4,2) = 7 <=> (3,0) = 3 | Lỗi:  4 | Conflicts: 7 | Tổng: 58.8016s | Sigma: 30.5459
Bước 116: Swap (3,0) = 9 <=> (3,2) = 3 | Lỗi:  4 | Conflicts: 7 | Tổng: 59.3173s | Sigma: 30.2404
Bước 117: Swap (4,2) = 3 <=> (3,2) = 7 | Lỗi:  6 | Conflicts: 11 | Tổng: 59.8330s | Sigma: 29.9380
Bước 118: Swap (6,4) = 3 <=> (7,4) = 2 | Lỗi:  8 | Conflicts: 15 | Tổng: 60.3483s | Sigma: 29.6387
Bước 119: Swap (7,2) = 3 <=> (6,0) = 6 | Lỗi:  6 | Conflicts: 11 | Tổng: 60.8641s | Sigma: 29.3423
Bước 120: Swap (4,2) = 9 <=> (3,0) = 3 | Lỗi:  4 | Conflicts: 8 | Tổng: 61.3791s | Sigma: 29.0488
Bước 121: Swap (7,4) = 3 <=> (6,4) = 2 | Lỗi:  4 | Conflicts: 8 | Tổng: 61.8944s | Sigma: 28.4708
Bước 122: Swap (6,2) = 3 <=> (7,2) = 1 | Lỗi:  2 | Conflicts: 4 | Tổng: 62.4094s | Sigma: 28.1861
Bước 123: Swap (7,7) = 6 <=> (8,8) = 7 | Lỗi:  6 | Conflicts: 10 | Tổng: 62.9253s | Sigma: 27.9042
Bước 124: Swap (7,7) = 7 <=> (8,8) = 6 | Lỗi:  2 | Conflicts: 4 | Tổng: 63.4406s | Sigma: 27.6252
Bước 125: Swap (0,0) = 4 <=> (1,2) = 7 | Lỗi:  6 | Conflicts: 9 | Tổng: 63.9563s | Sigma: 27.3489
Bước 126: Swap (8,8) = 7 <=> (7,7) = 6 | Lỗi: 10 | Conflicts: 15 | Tổng: 64.4722s | Sigma: 27.0754
Bước 127: Swap (7,7) = 7 <=> (8,8) = 6 | Lỗi:  6 | Conflicts: 9 | Tổng: 64.9873s | Sigma: 26.8047
Bước 128: Swap (7,7) = 6 <=> (8,8) = 7 | Lỗi: 10 | Conflicts: 15 | Tổng: 65.5023s | Sigma: 26.2713
Bước 129: Swap (6,2) = 1 <=> (7,2) = 3 | Lỗi: 12 | Conflicts: 19 | Tổng: 66.0174s | Sigma: 26.0085
Bước 130: Swap (7,7) = 7 <=> (8,8) = 6 | Lỗi:  8 | Conflicts: 13 | Tổng: 66.5332s | Sigma: 25.7485
Bước 131: Swap (8,8) = 7 <=> (7,7) = 6 | Lỗi: 12 | Conflicts: 19 | Tổng: 67.0484s | Sigma: 25.4910
Bước 132: Swap (1,2) = 4 <=> (0,0) = 7 | Lỗi:  8 | Conflicts: 14 | Tổng: 67.5643s | Sigma: 25.2361
Bước 133: Swap (6,4) = 1 <=> (8,4) = 2 | Lỗi: 10 | Conflicts: 17 | Tổng: 68.0806s | Sigma: 24.9837
Bước 134: Swap (1,2) = 7 <=> (0,0) = 4 | Lỗi: 14 | Conflicts: 22 | Tổng: 68.5963s | Sigma: 24.7339
Bước 135: Swap (6,0) = 3 <=> (7,2) = 6 | Lỗi: 16 | Conflicts: 24 | Tổng: 69.1121s | Sigma: 24.4865
Bước 136: Swap (8,4) = 3 <=> (7,4) = 2 | Lỗi: 17 | Conflicts: 26 | Tổng: 69.6275s | Sigma: 24.2417
Bước 137: Swap (4,2) = 7 <=> (3,2) = 9 | Lỗi: 15 | Conflicts: 23 | Tổng: 70.1432s | Sigma: 23.9992
Bước 138: Swap (7,4) = 1 <=> (6,4) = 2 | Lỗi: 13 | Conflicts: 20 | Tổng: 70.6584s | Sigma: 23.7593
Bước 139: Swap (1,2) = 4 <=> (0,0) = 7 | Lỗi:  9 | Conflicts: 14 | Tổng: 71.1741s | Sigma: 23.5217
Bước 140: Swap (0,0) = 4 <=> (1,2) = 7 | Lỗi: 13 | Conflicts: 20 | Tổng: 71.6894s | Sigma: 23.2864
Bước 141: Swap (8,4) = 2 <=> (6,4) = 3 | Lỗi: 14 | Conflicts: 21 | Tổng: 72.2056s | Sigma: 23.0536
Bước 142: Swap (6,4) = 2 <=> (8,4) = 3 | Lỗi: 13 | Conflicts: 20 | Tổng: 72.7214s | Sigma: 22.8230
Bước 143: Swap (1,2) = 4 <=> (0,0) = 7 | Lỗi:  9 | Conflicts: 14 | Tổng: 73.2370s | Sigma: 22.5948
Bước 144: Swap (7,4) = 2 <=> (6,4) = 1 | Lỗi: 11 | Conflicts: 17 | Tổng: 73.7521s | Sigma: 22.3689
Bước 145: Swap (8,8) = 6 <=> (7,7) = 7 | Lỗi:  7 | Conflicts: 12 | Tổng: 74.2674s | Sigma: 22.1452
Bước 146: Swap (6,2) = 6 <=> (7,2) = 1 | Lỗi:  5 | Conflicts: 10 | Tổng: 74.7822s | Sigma: 21.9237
Bước 147: Swap (6,2) = 1 <=> (7,2) = 6 | Lỗi:  7 | Conflicts: 12 | Tổng: 75.2971s | Sigma: 21.7045
Bước 148: Swap (8,8) = 7 <=> (7,7) = 6 | Lỗi: 11 | Conflicts: 17 | Tổng: 75.8121s | Sigma: 21.4874
Bước 149: Swap (3,2) = 7 <=> (4,2) = 9 | Lỗi: 13 | Conflicts: 21 | Tổng: 76.3273s | Sigma: 21.2726
Bước 150: Swap (7,4) = 3 <=> (8,4) = 2 | Lỗi: 12 | Conflicts: 19 | Tổng: 76.8424s | Sigma: 21.0598
Bước 151: Swap (1,2) = 7 <=> (0,0) = 4 | Lỗi: 16 | Conflicts: 24 | Tổng: 77.3577s | Sigma: 20.8492
Bước 152: Swap (7,2) = 1 <=> (6,2) = 6 | Lỗi: 14 | Conflicts: 23 | Tổng: 77.8734s | Sigma: 20.6408
Bước 153: Swap (7,7) = 7 <=> (8,8) = 6 | Lỗi: 10 | Conflicts: 17 | Tổng: 78.3883s | Sigma: 20.4343
Bước 154: Swap (8,8) = 7 <=> (7,7) = 6 | Lỗi: 14 | Conflicts: 23 | Tổng: 78.9040s | Sigma: 20.2300
Bước 155: Swap (3,2) = 9 <=> (4,2) = 7 | Lỗi: 12 | Conflicts: 20 | Tổng: 79.4191s | Sigma: 20.0277
Bước 156: Swap (1,2) = 4 <=> (0,0) = 7 | Lỗi:  8 | Conflicts: 14 | Tổng: 79.9346s | Sigma: 19.8274
Bước 157: Swap (6,4) = 3 <=> (7,4) = 1 | Lỗi:  9 | Conflicts: 15 | Tổng: 80.4506s | Sigma: 19.6292
Bước 158: Swap (3,2) = 7 <=> (4,2) = 9 | Lỗi: 11 | Conflicts: 19 | Tổng: 80.9663s | Sigma: 19.4329
Bước 159: Swap (7,7) = 7 <=> (8,8) = 6 | Lỗi:  7 | Conflicts: 13 | Tổng: 81.4825s | Sigma: 19.2385
Bước 160: Swap (8,8) = 7 <=> (7,7) = 6 | Lỗi: 11 | Conflicts: 19 | Tổng: 81.9974s | Sigma: 19.0461
Bước 161: Swap (8,8) = 6 <=> (7,7) = 7 | Lỗi:  7 | Conflicts: 13 | Tổng: 82.5121s | Sigma: 18.8557
Bước 162: Swap (6,4) = 2 <=> (8,4) = 3 | Lỗi:  6 | Conflicts: 12 | Tổng: 83.0273s | Sigma: 18.6671
Bước 163: Swap (4,2) = 3 <=> (3,0) = 9 | Lỗi:  6 | Conflicts: 12 | Tổng: 83.5420s | Sigma: 18.4805
Bước 164: Swap (0,0) = 4 <=> (1,2) = 7 | Lỗi: 10 | Conflicts: 17 | Tổng: 84.0573s | Sigma: 18.2957
Bước 165: Swap (6,2) = 3 <=> (6,0) = 6 | Lỗi: 10 | Conflicts: 16 | Tổng: 84.5725s | Sigma: 18.1127
Bước 166: Swap (6,2) = 6 <=> (6,0) = 3 | Lỗi: 10 | Conflicts: 17 | Tổng: 85.0873s | Sigma: 17.9316
Bước 167: Swap (0,0) = 7 <=> (1,2) = 4 | Lỗi:  6 | Conflicts: 12 | Tổng: 85.6030s | Sigma: 17.3990
Bước 168: Swap (3,2) = 3 <=> (4,2) = 7 | Lỗi:  4 | Conflicts: 8 | Tổng: 86.1185s | Sigma: 17.2250
Bước 169: Swap (6,0) = 6 <=> (6,2) = 3 | Lỗi:  4 | Conflicts: 8 | Tổng: 86.6341s | Sigma: 17.0527
Bước 170: Swap (3,0) = 3 <=> (3,2) = 9 | Lỗi:  2 | Conflicts: 4 | Tổng: 87.1507s | Sigma: 16.7134
Bước 171: Swap (7,2) = 3 <=> (6,2) = 1 | Lỗi:  2 | Conflicts: 4 | Tổng: 87.6664s | Sigma: 16.5463
Bước 172: Swap (0,0) = 4 <=> (1,2) = 7 | Lỗi:  6 | Conflicts: 10 | Tổng: 88.1814s | Sigma: 16.3808
Bước 173: Swap (1,2) = 4 <=> (0,0) = 7 | Lỗi:  2 | Conflicts: 4 | Tổng: 88.6973s | Sigma: 16.2170
Bước 174: Swap (3,0) = 7 <=> (4,2) = 3 | Lỗi:  6 | Conflicts: 10 | Tổng: 89.2121s | Sigma: 16.0548
Bước 175: Swap (6,0) = 1 <=> (6,2) = 6 | Lỗi:  8 | Conflicts: 13 | Tổng: 89.7270s | Sigma: 15.8943
Bước 176: Swap (6,0) = 3 <=> (7,2) = 1 | Lỗi:  6 | Conflicts: 11 | Tổng: 90.2423s | Sigma: 15.7353
Bước 177: Swap (1,2) = 7 <=> (0,0) = 4 | Lỗi:  8 | Conflicts: 15 | Tổng: 90.7574s | Sigma: 15.5780
Bước 178: Swap (1,2) = 4 <=> (0,0) = 7 | Lỗi:  6 | Conflicts: 11 | Tổng: 91.2751s | Sigma: 15.4222
Bước 179: Swap (7,4) = 3 <=> (8,4) = 1 | Lỗi:  4 | Conflicts: 7 | Tổng: 91.7905s | Sigma: 15.2680
Bước 180: Swap (4,2) = 7 <=> (3,0) = 3 | Lỗi:  2 | Conflicts: 4 | Tổng: 92.3060s | Sigma: 15.1153
Bước 181: Swap (0,0) = 4 <=> (1,2) = 7 | Lỗi:  6 | Conflicts: 10 | Tổng: 92.8215s | Sigma: 14.9641
Bước 182: Swap (6,0) = 6 <=> (6,2) = 3 | Lỗi:  4 | Conflicts: 6 | Tổng: 93.3368s | Sigma: 14.8145
Bước 183: Swap (8,4) = 3 <=> (7,4) = 1 | Lỗi:  6 | Conflicts: 10 | Tổng: 93.8523s | Sigma: 14.6664
Bước 184: Swap (1,2) = 4 <=> (0,0) = 7 | Lỗi:  2 | Conflicts: 4 | Tổng: 94.3715s | Sigma: 14.5197
Bước 185: Swap (6,2) = 1 <=> (7,2) = 3 | Lỗi:  2 | Conflicts: 4 | Tổng: 94.8894s | Sigma: 14.3745
Bước 186: Swap (3,0) = 9 <=> (3,2) = 3 | Lỗi:  4 | Conflicts: 8 | Tổng: 95.4056s | Sigma: 14.2307
Bước 187: Swap (6,4) = 3 <=> (8,4) = 2 | Lỗi:  4 | Conflicts: 8 | Tổng: 95.9215s | Sigma: 14.0884
