=== Log giải Sudoku 9x9 bằng Simulated Annealing ===
Bước 67: Swap (4,6) = 1 <=> (5,7) = 7 | Lỗi: 10 | Conflicts: 17 | Tổng: 34.1810s | Sigma: 49.4839
Bước 68: Swap (3,2) = 5 <=> (5,2) = 2 | Lỗi:  9 | Conflicts: 15 | Tổng: 34.6980s | Sigma: 48.9890
Bước 69: Swap (2,5) = 7 <=> (0,3) = 5 | Lỗi: 12 | Conflicts: 19 | Tổng: 35.2169s | Sigma: 48.4991
Bước 70: Swap (0,1) = 6 <=> (0,0) = 5 | Lỗi: 10 | Conflicts: 16 | Tổng: 35.7367s | Sigma: 47.5340
Bước 71: Swap (0,3) = 7 <=> (2,5) = 5 | Lỗi:  7 | Conflicts: 11 | Tổng: 36.2555s | Sigma: 47.0587
Bước 72: Swap (2,5) = 7 <=> (0,3) = 5 | Lỗi: 10 | Conflicts: 16 | Tổng: 36.7742s | Sigma: 46.5881
Bước 73: Swap (3,5) = 6 <=> (5,5) = 4 | Lỗi: 10 | Conflicts: 17 | Tổng: 37.2935s | Sigma: 46.1222
Bước 74: Swap (4,6) = 7 <=> (5,7) = 1 | Lỗi: 14 | Conflicts: 21 | Tổng: 37.8118s | Sigma: 45.6610
Bước 75: Swap (3,5) = 4 <=> (5,5) = 6 | Lỗi: 14 | Conflicts: 20 | Tổng: 38.3252s | Sigma: 45.2044
Bước 76: Swap (0,3) = 7 <=> (2,5) = 5 | Lỗi: 11 | Conflicts: 16 | Tổng: 38.8430s | Sigma: 44.7523
Bước 77: Swap (1,6) = 9 <=> (2,8) = 6 | Lỗi: 15 | Conflicts: 22 | Tổng: 39.3613s | Sigma: 44.3048
Bước 78: Swap (0,0) = 6 <=> (0,1) = 5 | Lỗi: 17 | Conflicts: 26 | Tổng: 39.8792s | Sigma: 43.8618
Bước 79: Swap (4,6) = 1 <=> (5,7) = 7 | Lỗi: 13 | Conflicts: 21 | Tổng: 40.3972s | Sigma: 43.4231
Bước 80: Swap (0,0) = 5 <=> (0,1) = 6 | Lỗi: 11 | Conflicts: 17 | Tổng: 40.9141s | Sigma: 42.9889
Bước 81: Swap (0,1) = 5 <=> (0,0) = 6 | Lỗi: 13 | Conflicts: 21 | Tổng: 41.4310s | Sigma: 42.5590
Bước 82: Swap (4,4) = 6 <=> (5,5) = 7 | Lỗi: 14 | Conflicts: 23 | Tổng: 41.9489s | Sigma: 42.1334
Bước 83: Swap (0,1) = 6 <=> (0,0) = 5 | Lỗi: 12 | Conflicts: 19 | Tổng: 42.4660s | Sigma: 41.7121
Bước 84: Swap (0,1) = 5 <=> (0,0) = 6 | Lỗi: 14 | Conflicts: 23 | Tổng: 42.9849s | Sigma: 41.2950
Bước 85: Swap (5,7) = 1 <=> (4,6) = 7 | Lỗi: 17 | Conflicts: 27 | Tổng: 43.5031s | Sigma: 40.8820
Bước 86: Swap (1,6) = 6 <=> (2,8) = 9 | Lỗi: 13 | Conflicts: 21 | Tổng: 44.0225s | Sigma: 40.4732
Bước 87: Swap (4,6) = 1 <=> (5,7) = 7 | Lỗi: 10 | Conflicts: 17 | Tổng: 44.5416s | Sigma: 40.0685
Bước 88: Swap (0,1) = 6 <=> (0,0) = 5 | Lỗi:  8 | Conflicts: 13 | Tổng: 45.0597s | Sigma: 39.6678
Bước 89: Swap (5,5) = 6 <=> (4,4) = 7 | Lỗi:  7 | Conflicts: 11 | Tổng: 45.5781s | Sigma: 39.2711
Bước 90: Swap (4,4) = 4 <=> (3,5) = 7 | Lỗi:  4 | Conflicts: 6 | Tổng: 46.0911s | Sigma: 38.8784
Bước 91: Swap (2,5) = 7 <=> (0,3) = 5 | Lỗi:  8 | Conflicts: 12 | Tổng: 46.6096s | Sigma: 38.4896
Bước 92: Swap (5,5) = 4 <=> (4,4) = 6 | Lỗi: 10 | Conflicts: 16 | Tổng: 47.1289s | Sigma: 38.1047
Bước 93: Swap (2,5) = 5 <=> (0,3) = 7 | Lỗi:  6 | Conflicts: 10 | Tổng: 47.6484s | Sigma: 37.7237
Bước 94: Swap (0,1) = 5 <=> (0,0) = 6 | Lỗi:  8 | Conflicts: 14 | Tổng: 48.1681s | Sigma: 37.3464
